id,Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Ship
18,Crucero 2016,37.0,C,2016-10-25 12:10:00,73.0576,46.1743,270.0,A1
14,Crucero 2016,26.0,C,2016-10-23 16:13:00,72.01045,46.23823,260.0,A1
15,Crucero 2016,27.0,C,2016-10-23 21:17:00,72.18855,46.27144,222.0,A1
16,Crucero 2016,28.0,C,2016-10-23 22:59:00,72.34764,46.28825,228.0,A1
17,Crucero 2016,29.0,C,2016-10-24 00:46:00,72.51546,46.26607,212.0,A1
10,Crucero 2016,10.0,C,2016-10-20 17:40:00,72.85338,46.21465,420.0,A1
11,Crucero 2016,11.0,C,2016-10-20 20:15:00,72.79576,46.21205,340.0,A1
12,Crucero 2016,12.0,C,2016-10-20 21:31:00,72.70415,46.23575,347.0,A1
13,Crucero 2016,13.0,C,2016-10-20 23:32:00,72.64647,46.24492,222.0,A1
2,Crucero 2016,2.0,C,2016-10-20 01:19:00,73.47099,46.19968,395.0,A1
3,Crucero 2016,3.0,C,2016-10-20 02:40:00,73.3806,46.22752,292.0,A1
4,Crucero 2016,4.0,C,2016-10-20 04:40:00,73.2982,46.19588,337.0,A1
5,Crucero 2016,5.0,C,2016-10-20 06:29:00,73.26955,46.17625,269.0,A1
6,Crucero 2016,6.0,C,2016-10-20 07:52:00,73.25435,46.17525,296.0,A1
7,Crucero 2016,7.0,C,2016-10-20 09:41:00,73.06612,46.16493,272.0,A1
8,Crucero 2016,8.0,C,2016-10-20 12:04:00,73.05068,46.1643,156.0,A1
9,Crucero 2016,9.0,C,2016-10-20 14:59:00,72.94505,46.17847,252.0,A1
0,Crucero 2016,1.0,C,2016-10-19 22:15:00,73.48573,46.22015,485.0,A1
1,Crucero 2016,1.0,C,2016-10-19 22:15:00,73.48573,46.22015,485.0,Z1
29,Crucero 2017,11.0,C,2017-07-20 22:47:00,72.02574,46.23658,245.0,A1
29,Crucero 2017,11.0,C,2017-07-20 21:31:00,72.02574,46.23658,245.0,A1
28,Crucero 2017,10.0,C,2017-07-20 20:08:00,72.19307,46.28033,261.0,A1
27,Crucero 2017,9.0,C,2017-07-20 17:51:00,72.44328,46.28582,229.0,A1
27,Crucero 2017,9.0,C,2017-07-20 16:46:00,72.44328,46.28582,229.0,A1
26,Crucero 2017,8.0,C,2017-07-20 15:24:00,72.58183,46.24503,162.0,A1
25,Crucero 2017,7.0,C,2017-07-20 14:01:00,72.72328,46.2277,251.0,A1
24,Crucero 2017,6.0,C,2017-07-20 12:11:00,72.8691,46.20842,352.0,A1
24,Crucero 2017,6.0,C,2017-07-20 11:15:00,72.8691,46.20842,352.0,A1
23,Crucero 2017,5.0,C,2017-07-20 09:55:00,73.01997,46.1712,226.0,A1
22,Crucero 2017,4.0,C,2017-07-20 08:25:00,73.17262,46.16625,316.0,A1
21,Crucero 2017,3.0,C,2017-07-20 03:24:00,73.31584,46.19878,340.0,A1
21,Crucero 2017,3.0,C,2017-07-20 02:06:00,73.31584,46.19878,340.0,A1
20,Crucero 2017,2.0,C,2017-07-19 23:58:00,73.47127,46.19933,365.0,A1
19,Crucero 2017,1.0,C,2017-07-19 22:19:00,73.52925,46.20906,500.0,A1
19,Crucero 2017,1.0,C,2017-07-19 20:59:00,73.52925,46.20906,500.0,A1
30,Crucero 2017,12.0,C,2017-07-21 13:47:00,71.99632,46.23283,300.0,A1
31,Crucero 2017,23.0,C,2017-07-26 14:19:00,73.0526,46.17487,240.0,A1
31,Crucero 2017,23.0,C,2017-07-26 13:19:00,73.0526,46.17487,240.0,A1
43,Crucero 2018,12.0,C,2018-07-19 09:39:00,72.05318,46.24048,217.0,A1
42,Crucero 2018,11.0,C,2018-07-19 08:18:00,72.19176,46.28013,240.0,A1
41,Crucero 2018,10.0,C,2018-07-19 05:52:00,72.44328,46.28515,155.0,A1
40,Crucero 2018,9.0,C,2018-07-19 04:50:00,72.57323,46.2488,152.0,A1
39,Crucero 2018,8.0,C,2018-07-19 03:34:00,72.72347,46.22735,250.0,A1
38,Crucero 2018,7.0,C,2018-07-19 02:13:00,72.86992,46.20785,265.0,A1
37,Crucero 2018,6.0,C,2018-07-19 23:58:00,73.0211,46.17126,250.0,A1
36,Crucero 2018,5.0,C,2018-07-19 22:07:00,73.17204,46.16568,210.0,A1
35,Crucero 2018,4.0,C,2018-07-19 20:43:00,73.2747,46.17575,273.0,A1
34,Crucero 2018,3.0,C,2018-07-19 19:38:00,73.31355,46.19866,295.0,A1
33,Crucero 2018,2.0,C,2018-07-18 16:33:00,73.47075,46.20005,386.0,A1
32,Crucero 2018,1.0,C,2018-07-18 14:51:00,73.53001,46.20852,565.0,A1
51,Crucero 2018,24.0,C,2018-07-23 20:13:00,73.27141,46.39723,260.0,A1
50,Crucero 2018,23.0,C,2018-07-23 17:19:00,73.09612,46.38463,420.0,A1
49,Crucero 2018,22.0,C,2018-07-23 13:05:00,72.91112,46.36165,230.0,A1
48,Crucero 2018,21.0,C,2018-07-23 11:40:00,72.73647,46.34002,151.0,A1
47,Crucero 2018,20.0,C,2018-07-23 10:09:00,72.59605,46.30982,250.0,A1
46,Crucero 2018,19.0,C,2018-07-23 08:30:00,72.40685,46.28506,160.0,A1
45,Crucero 2018,18.0,C,2018-07-23 06:32:00,72.19408,46.28088,265.0,A1
44,Crucero 2018,17.0,C,2018-07-22 12:35:00,72.02165,46.23215,320.0,A1
52,Crucero 2018,25.0,C,2018-07-23 21:53:00,73.44286,46.43094,310.0,A1
